Location,Sample Name,Date,Ammonia_mgl_Q,Ammonia_mgl,N_mgl_Q,Nitrate_mgl,Perchlorate_ugl_Q,Perchlorate_ugl
MW-1,MW-1,6/16/2004,2.8,2.8,150,150,14400,14400
MW-1,MW-1,1/11/2005,2.5,2.5,0.23,0.23,<5.0  ,5
MW-1,MW-1,11/10/2005,3,3,0.033 B ,0.033,<10.0  ,10
MW-1,MW-1,6/13/2006,< NS ,  ,< NS ,  ,< NS ,  
MW-1,MW-1,6/20/2007,2.9,2.9,1.8,1.8,1040,1040
MW-1,MW-1,10/18/2007,3,3,65,65,11300,11300
MW-1,MW-1,2/6/2008,< NS ,  ,< NS ,  ,< NS ,  
MW-1,MW-1,4/8/2008,< NS ,  ,< NS ,  ,< NS ,  
MW-1R,MW-1R,6/18/2008,0.13 JB ,0.13,27 B ,27,9940,9940
MW-1R,MW-1R,10/9/2008,5.5,5.5,3.1,3.1,1640,1640
MW-1R,MW-1R,2/13/2009,<0.20  ,0.2,5.5,5.5,3400,3400
MW-1R,MW-1R,6/17/2009,<0.20  ,0.2,9.9,9.9,6870,6870
MW-1R,MW-1R,12/17/2009,8,8,4.7,4.7,1730,1730
MW-1R,MW-1R,6/17/2010,3.4,3.4,27,27,7180,7180
MW-1R,MW-1R,12/8/2010,0.85,0.85,47,47,15600,15600
MW-1R,MW-1R,6/15/2011,0.82,0.82,54,54,16400,16400
MW-1R,MW-1R,12/9/2011,0.44,0.44,47,47,12800,12800
MW-1R,MW-1R,6/14/2012,3.1,3.1,22,22,7540,7540
MW-1R,MW-1R,12/7/2012,7.4,7.4,4.4,4.4,2100,2100
MW-1R,MW-1R,6/14/2013,0.46,0.46,59,59,20000,20000
MW-1R,MW-1R,12/13/2013,8,8,2.4,2.4,1900,1900
MW-1R,MW-1R,6/20/2014,0.55,0.55,50,50,20000,20000
MW-1R,MW-1R,12/4/2014,0.12,0.12,44.4,44.4,29000,29000
MW-1R,MW-1R,6/5/2015,0.27,0.27,67.9,67.9,16000,16000
MW-1R,MW-1R-12102015,12/10/2015,<0.050  ,0.05,59.9 J ,59.9,17000,17000
MW-1R,MW-1R-06092016,6/9/2016,0.41 J ,0.41,81.1,81.1,27000,27000
MW-1R,MW1R-12152016-1226,12/15/2016,0.042 J ,0.042,45.7 J ,45.7,12000,12000
MW-1R,MW-1R-12152017,12/15/2017,0.029 J ,0.029,73.9,73.9,13000 J ,13000
MW-1R2,MW-1R2-121020,12/10/2020,130,130,1080,1080,202000,202000
MW-1R2,MW-1R2-120921,12/9/2021,7.2,7.2,4.10 J ,4.1,3040,3040
MW-1R2,MW-1R2-120822,12/8/2022,--,,--,,44200,44200
MW-1R2,MW-IR2-120822,12/8/2022,4.5,4.5,235,235,--,
MW-1R2,MW-1R2-12082023,12/8/2023,160 J- ,160,362,362,55400,55400
MW-1R2,MW-1R2-12042024,12/4/2024,26.1,26.1,807,807,120000,120000
MW-2,MW-2,6/16/2004,0.66,0.66,1.5,1.5,248,248
MW-2,MW-2,1/11/2005,0.14 B ,0.14,1.3,1.3,111,111
MW-2,MW-2,11/8/2005,<0.20  ,0.2,3.9,3.9,429,429
