loc_name,Measurement Date,Reference Elevation,Water Level Depth,Water Level elevation
GWP-1,12/7/2005,866.88,12.78,854.1
GWP-1,12/8/2005,866.88,12.75,854.13
GWP-2,12/7/2005,875.27,26.02,849.25
GWP-2,12/8/2005,875.27,24.45,850.82
GWP-4,12/7/2005,867.41,17.74,849.67
GWP-4,12/8/2005,867.41,14.01,853.4
GWP-6,12/7/2005,866.2,9.37,856.83
GWP-6,12/8/2005,866.2,9.33,856.87
MW-1,6/11/2004,876.62,1.79,874.83
MW-1,6/11/2004,876.62,1.79,874.83
MW-1,6/16/2004,876.62,1.79,874.83
MW-1,6/16/2004,876.62,1.79,874.83
MW-1,7/20/2004,876.62,1.12,875.5
MW-1,7/20/2004,876.62,1.12,875.5
MW-1,7/30/2004,876.62,0.38,876.24
MW-1,7/30/2004,876.62,0.38,876.24
MW-1,8/2/2004,876.62,1.1,875.52
MW-1,8/2/2004,876.62,1.1,875.52
MW-1,8/9/2004,876.62,3.69,872.93
MW-1,8/9/2004,876.62,3.69,872.93
MW-1,8/16/2004,876.62,3.98,872.64
MW-1,8/16/2004,876.62,3.98,872.64
MW-1,8/26/2004,876.62,4.09,872.53
MW-1,8/26/2004,876.62,4.09,872.53
MW-1,9/30/2004,876.62,1.96,874.66
MW-1,9/30/2004,876.62,1.96,874.66
MW-1,10/26/2004,876.62,4.26,872.36
MW-1,10/26/2004,876.62,4.26,872.36
MW-1,12/29/2004,876.62,2.46,874.16
MW-1,12/29/2004,876.62,2.46,874.16
MW-1,1/11/2005,876.62,2.03,874.59
MW-1,1/11/2005,876.62,2.03,874.59
MW-1,6/27/2005,876.62,0.64,875.98
MW-1,6/27/2005,876.62,0.64,875.98
MW-1,11/7/2005,876.62,1.38,875.24
MW-1,11/7/2005,876.62,1.38,875.24
MW-1,12/5/2005,876.62,2.2,874.42
MW-1,12/5/2005,876.62,2.2,874.42
MW-1,5/2/2006,876.62,3.74,872.88
MW-1,5/2/2006,876.62,3.74,872.88
MW-1,6/11/2007,876.62,2.91,873.71
MW-1,6/11/2007,876.62,2.91,873.71
MW-1,10/8/2007,876.62,0.82,875.8
MW-1,10/8/2007,876.62,0.82,875.8
MW-1R,4/10/2008,876.39,1,875.39
MW-1R,6/10/2008,876.39,0,876.39
MW-1R,10/9/2008,876.39,0,876.39
MW-1R,2/9/2009,876.39,0.8,875.59
MW-1R,6/15/2009,876.39,0.65,875.74
MW-1R,12/17/2009,876.39,0,876.39
MW-1R,6/17/2010,876.39,0,876.39
MW-1R,12/7/2010,876.39,0.29,876.1
MW-1R,6/15/2011,876.39,0,876.39
MW-1R,9/19/2011,876.39,,
MW-1R,12/6/2011,876.39,1.01,875.38
MW-1R,6/11/2013,876.39,2.4,873.99
MW-1R,6/7/2016,876.39,0,876.39
MW-1R,12/12/2016,876.39,0,876.39
MW-1R,6/6/2017,876.39,0,876.39
MW-1R,12/12/2017,876.39,0.65,875.74
MW-1R,12/3/2018,876.39,,
MW-1R,12/11/2019,876.39,0,876.39
MW-1R2,12/8/2020,877.3,1.22,876.08
MW-1R2,12/7/2021,877.3,1.14,876.16
MW-1R2,12/6/2022,877.3,1.51,875.79
MW-1R2,12/5/2023,877.3,2.73,874.57
MW-1R2,12/2/2024,877.3,3.14,874.16
MW-2,6/11/2004,883.38,4.46,878.92
MW-2,6/16/2004,883.38,4.4,878.98
MW-2,7/20/2004,883.38,4.37,879.01
MW-2,7/30/2004,883.38,4.36,879.02
MW-2,8/2/2004,883.38,4.39,878.99
MW-2,8/9/2004,883.38,5.01,878.37
MW-2,8/16/2004,883.38,5.82,877.56
MW-2,8/26/2004,883.38,6.86,876.52
MW-2,9/30/2004,883.38,6.91,876.47
MW-2,10/26/2004,883.38,6.92,876.46
MW-2,12/29/2004,883.38,5.17,878.21
MW-2,1/11/2005,883.38,5.47,877.91
MW-2,6/27/2005,883.38,4.24,879.14
MW-2,11/7/2005,883.38,5.27,878.11
MW-2,12/5/2005,883.38,6.12,877.26
MW-2,5/2/2006,883.38,8.79,874.59
MW-2,6/11/2007,883.38,6.14,877.24
MW-2,10/8/2007,883.38,3.98,879.4
MW-2,2/4/2008,883.38,4.76,878.62
MW-2,6/10/2008,883.38,2.36,881.02
MW-2,10/6/2008,883.38,2.41,880.97
MW-2,2/9/2009,883.38,3.77,879.61
MW-2,6/15/2009,883.38,1.98,881.4
MW-2,12/14/2009,883.38,1.95,881.43
MW-2,6/14/2010,883.38,1.75,881.63
MW-2,12/6/2010,883.38,3.11,880.27
MW-2,6/13/2011,883.38,2.72,880.66
MW-2,9/19/2011,883.38,3.58,879.8
MW-2,12/5/2011,883.38,4.91,878.47
MW-2,6/11/2013,883.38,5.6,877.78
MW-2,6/7/2016,883.38,1.9,881.48
MW-2,12/13/2016,883.38,3.47,879.91
MW-2,6/6/2017,883.38,2.59,880.79
MW-2,12/12/2017,883.38,3.7,879.68
MW-2,12/3/2018,883.38,4.34,879.04
MW-2,12/13/2019,883.38,2.2,881.18
MW-2,12/8/2020,883.38,4.34,879.04
MW-2,12/7/2021,883.38,3.25,880.13
MW-2,12/6/2022,883.38,5.22,878.16
MW-2,12/5/2023,883.38,7.01,876.37
MW-2,12/2/2024,883.38,7.76,875.62
MW-3,6/16/2004,887.31,9.68,877.63
MW-3,7/20/2004,887.31,9.69,877.62
MW-3,1/11/2005,887.31,10.99,876.32
MW-3,6/27/2005,887.31,8.79,878.52
MW-3,11/7/2005,887.31,11.41,875.9
MW-3,12/5/2005,887.31,12.11,875.2
MW-3,5/2/2006,887.31,13.6,873.71
MW-3,6/11/2007,887.31,10.91,876.4
MW-3,10/8/2007,887.31,8.8,878.51
MW-3,2/4/2008,887.31,9.1,878.21
MW-3,6/10/2008,887.31,6.26,881.05
MW-3,10/6/2008,887.31,6.8,880.51
MW-3,2/9/2009,887.31,7.63,879.68
MW-3,6/15/2009,887.31,5.97,881.34
MW-3,12/14/2009,887.31,9.04,878.27
MW-3,6/14/2010,887.31,5.57,881.74
MW-3,12/6/2010,887.31,8.25,879.06
MW-3,6/13/2011,887.31,6.7,880.61
MW-3,9/19/2011,887.31,9,878.31
MW-3,12/5/2011,887.31,10.38,876.93
MW-3,6/11/2013,887.31,8.84,878.47
MW-3,6/7/2016,887.31,5.29,882.02
MW-3,12/13/2016,887.31,8.06,879.25
MW-3,6/6/2017,887.31,6.27,881.04
MW-3,12/12/2017,887.31,8.87,878.44
MW-3,12/3/2018,887.31,10.48,876.83
MW-3,12/13/2019,887.31,6.09,881.22
MW-3,12/7/2020,887.31,9.62,877.69
MW-3,12/7/2021,887.31,8.55,878.76
MW-3,12/6/2022,887.31,11.27,876.04
MW-3,12/5/2023,887.31,12.91,874.4
MW-3,12/3/2024,887.31,13.16,874.15
MW-4,6/15/2004,877.65,5.08,872.57
MW-4,6/16/2004,877.65,4.78,872.87
MW-4,7/20/2004,877.65,4.65,873
MW-4,7/30/2004,877.65,4.38,873.27
MW-4,8/2/2004,877.65,4.4,873.25
MW-4,8/9/2004,877.65,6.39,871.26
MW-4,8/16/2004,877.65,7.16,870.49
MW-4,8/26/2004,877.65,8.93,868.72
MW-4,9/30/2004,877.65,8.96,868.69
MW-4,10/26/2004,877.65,5,872.65
MW-4,12/29/2004,877.65,5.23,872.42
MW-4,1/11/2005,877.65,5.02,872.63
MW-4,6/27/2005,877.65,3.44,874.21
MW-4,11/7/2005,877.65,4.99,872.66
MW-4,12/5/2005,877.65,5.77,871.88
MW-4,5/2/2006,877.65,6.42,871.23
MW-4,6/11/2007,877.65,3.97,873.68
MW-4,10/9/2007,877.65,3.99,873.66
MW-4,2/7/2008,877.65,4.35,873.3
MW-4,6/10/2008,877.65,2.41,875.24
